epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,827.53,0.78911,0.8024,1.17248,0.70151,0.63263,0.70009,0.52927,0.92574,1.07452,1.29186,0.000494885,0.000494885,0.000494885
43,846.649,0.76638,0.78149,1.15904,0.64163,0.64458,0.70294,0.53569,0.88637,1.07104,1.25596,0.000486639,0.000486639,0.000486639
44,865.88,0.7704,0.77841,1.15972,0.65469,0.63672,0.69184,0.52355,0.91409,1.16343,1.29159,0.000478392,0.000478392,0.000478392
45,885.006,0.74395,0.76337,1.14311,0.65653,0.67116,0.71865,0.55423,0.88796,1.07248,1.26983,0.000470145,0.000470145,0.000470145
46,904.148,0.76761,0.76757,1.16105,0.66321,0.66483,0.70448,0.53347,0.8937,1.12908,1.2843,0.000461898,0.000461898,0.000461898
47,923.266,0.75424,0.75873,1.15008,0.6529,0.64241,0.71664,0.5456,0.90393,1.06695,1.29353,0.000453652,0.000453652,0.000453652
48,942.512,0.75389,0.75778,1.15324,0.71469,0.65832,0.72174,0.54575,0.92246,1.06843,1.29013,0.000445405,0.000445405,0.000445405
49,961.663,0.74135,0.75774,1.14282,0.61227,0.65955,0.69432,0.52936,0.92162,1.17257,1.29526,0.000437158,0.000437158,0.000437158
50,980.766,0.74118,0.75174,1.13825,0.62711,0.69628,0.71722,0.54706,0.91526,1.11073,1.28619,0.000428912,0.000428912,0.000428912
51,999.85,0.72866,0.73087,1.13616,0.68264,0.69165,0.73204,0.56453,0.89936,1.08302,1.27437,0.000420665,0.000420665,0.000420665
52,1018.96,0.74622,0.71856,1.14743,0.69334,0.64715,0.72,0.54571,0.90331,1.09904,1.27348,0.000412418,0.000412418,0.000412418
53,1038.16,0.74589,0.72439,1.14173,0.63373,0.70806,0.72759,0.55561,0.90206,1.13028,1.29093,0.000404172,0.000404172,0.000404172
54,1057.26,0.73396,0.72236,1.13464,0.70098,0.64417,0.71755,0.549,0.891,1.08167,1.26611,0.000395925,0.000395925,0.000395925
55,1076.35,0.71246,0.69832,1.12702,0.7177,0.61084,0.70329,0.52495,0.94326,1.12354,1.32556,0.000387678,0.000387678,0.000387678
56,1095.52,0.72114,0.68961,1.13221,0.61623,0.72408,0.70157,0.53708,0.92744,1.16979,1.31092,0.000379431,0.000379431,0.000379431
57,1114.8,0.70225,0.67783,1.12479,0.62134,0.73268,0.71772,0.54768,0.89162,1.0922,1.26649,0.000371185,0.000371185,0.000371185
58,1133.95,0.71648,0.67971,1.13069,0.60082,0.72587,0.71575,0.54487,0.89828,1.05576,1.28184,0.000362938,0.000362938,0.000362938
59,1153.07,0.71133,0.66853,1.13172,0.6826,0.67265,0.71649,0.5492,0.91431,1.04786,1.28935,0.000354691,0.000354691,0.000354691
60,1172.21,0.71201,0.68649,1.1216,0.67112,0.68567,0.72469,0.55539,0.89732,1.05856,1.27499,0.000346445,0.000346445,0.000346445
61,1191.46,0.69236,0.6664,1.11258,0.70035,0.63975,0.73374,0.56511,0.89265,1.11463,1.26874,0.000338198,0.000338198,0.000338198
62,1210.62,0.69721,0.6427,1.11629,0.68013,0.69448,0.71149,0.54205,0.92284,1.10193,1.29214,0.000329951,0.000329951,0.000329951
63,1229.65,0.70108,0.63933,1.11542,0.70722,0.68719,0.73325,0.56534,0.89067,1.02397,1.26277,0.000321705,0.000321705,0.000321705
64,1248.88,0.68857,0.64748,1.11319,0.71183,0.6673,0.74174,0.57433,0.87858,1.07025,1.25911,0.000313458,0.000313458,0.000313458
65,1268.15,0.69056,0.6406,1.10551,0.69641,0.67482,0.72725,0.54945,0.90073,1.11377,1.27679,0.000305211,0.000305211,0.000305211
66,1287.23,0.69124,0.61441,1.11422,0.71379,0.64186,0.72719,0.55391,0.91652,1.07337,1.31006,0.000296964,0.000296964,0.000296964
67,1306.23,0.68729,0.63083,1.11522,0.61952,0.75437,0.72114,0.54805,0.91057,1.09076,1.28927,0.000288718,0.000288718,0.000288718
68,1325.42,0.67736,0.60767,1.09854,0.70843,0.69749,0.72643,0.54964,0.88504,1.041,1.27438,0.000280471,0.000280471,0.000280471
69,1344.62,0.687,0.6069,1.10578,0.6656,0.68292,0.69649,0.52549,0.91896,1.15428,1.31495,0.000272224,0.000272224,0.000272224
70,1363.9,0.66997,0.60736,1.09092,0.723,0.66274,0.73455,0.56632,0.89763,1.09117,1.29068,0.000263978,0.000263978,0.000263978
71,1383.05,0.67712,0.60282,1.10047,0.71285,0.69919,0.74798,0.58175,0.89855,1.02781,1.28549,0.000255731,0.000255731,0.000255731
72,1402.24,0.67579,0.59665,1.10006,0.68607,0.71172,0.74942,0.58136,0.87106,0.9947,1.24582,0.000247484,0.000247484,0.000247484
73,1421.5,0.66339,0.57684,1.0984,0.69919,0.70571,0.74924,0.57945,0.89975,1.05619,1.27893,0.000239238,0.000239238,0.000239238
74,1440.79,0.66814,0.58075,1.10126,0.76123,0.66539,0.75313,0.58463,0.88376,1.03337,1.26387,0.000230991,0.000230991,0.000230991
75,1460.05,0.6556,0.58165,1.09487,0.77245,0.67565,0.76311,0.59454,0.87754,1.00187,1.26238,0.000222744,0.000222744,0.000222744
76,1479.34,0.64338,0.57093,1.08283,0.67772,0.72735,0.74235,0.57349,0.8912,1.00917,1.26223,0.000214497,0.000214497,0.000214497
77,1498.65,0.64774,0.56655,1.09475,0.66207,0.74999,0.73378,0.56284,0.89249,1.05387,1.26981,0.000206251,0.000206251,0.000206251
78,1517.76,0.64526,0.55271,1.0763,0.71479,0.67137,0.74678,0.57011,0.92105,1.01762,1.29517,0.000198004,0.000198004,0.000198004
79,1536.96,0.65986,0.57117,1.09362,0.7512,0.67371,0.75142,0.57498,0.88991,1.04411,1.26728,0.000189757,0.000189757,0.000189757
80,1556.15,0.63542,0.55083,1.07225,0.71622,0.70646,0.75076,0.57619,0.904,1.02592,1.29382,0.000181511,0.000181511,0.000181511
81,1575.43,0.64009,0.55509,1.07985,0.74877,0.66239,0.73411,0.56505,0.88344,1.02847,1.27516,0.000173264,0.000173264,0.000173264
82,1594.71,0.63174,0.55051,1.07443,0.74999,0.68136,0.74792,0.57639,0.89348,1.02501,1.28184,0.000165017,0.000165017,0.000165017
83,1613.86,0.63629,0.53884,1.07561,0.73184,0.72268,0.76309,0.5892,0.86508,0.99504,1.26367,0.000156771,0.000156771,0.000156771
84,1633.02,0.62019,0.52957,1.07202,0.724,0.71874,0.7651,0.59787,0.86479,0.99965,1.25995,0.000148524,0.000148524,0.000148524
85,1652.4,0.62142,0.53453,1.06993,0.71713,0.73457,0.76887,0.5997,0.86869,0.98315,1.26369,0.000140277,0.000140277,0.000140277
86,1671.67,0.62275,0.53541,1.06356,0.75383,0.71473,0.76662,0.60412,0.85441,0.97892,1.24984,0.000132031,0.000132031,0.000132031
87,1690.73,0.60801,0.51462,1.05888,0.72354,0.70937,0.76629,0.60273,0.86639,0.99476,1.26919,0.000123784,0.000123784,0.000123784
88,1709.84,0.61852,0.5054,1.06393,0.71493,0.67947,0.74269,0.57697,0.88442,1.03283,1.26992,0.000115537,0.000115537,0.000115537
89,1728.96,0.62229,0.52061,1.06607,0.72584,0.70342,0.75451,0.59066,0.87243,1.00073,1.2636,0.00010729,0.00010729,0.00010729
90,1748.02,0.61594,0.50615,1.06842,0.70431,0.74397,0.76262,0.59806,0.86834,0.97584,1.25661,9.90437e-05,9.90437e-05,9.90437e-05
91,1768.78,0.49525,0.36815,1.00915,0.6969,0.72271,0.75063,0.58893,0.854,1.00637,1.24675,9.0797e-05,9.0797e-05,9.0797e-05
92,1787.78,0.49745,0.35433,1.01501,0.75677,0.69004,0.75675,0.59552,0.84548,0.98567,1.23216,8.25503e-05,8.25503e-05,8.25503e-05
93,1806.82,0.47916,0.32627,0.99528,0.69352,0.70485,0.7508,0.58697,0.86589,1.02241,1.26651,7.43036e-05,7.43036e-05,7.43036e-05
94,1825.68,0.47959,0.32342,1.00159,0.6995,0.73136,0.7561,0.59394,0.86929,1.0191,1.27602,6.60569e-05,6.60569e-05,6.60569e-05
95,1844.64,0.47598,0.31849,1.00117,0.76211,0.659,0.74586,0.58423,0.8686,1.02452,1.26531,5.78102e-05,5.78102e-05,5.78102e-05
96,1863.6,0.47162,0.32665,0.99503,0.7082,0.71436,0.74973,0.58829,0.86026,1.01185,1.26147,4.95635e-05,4.95635e-05,4.95635e-05
97,1882.58,0.45851,0.30899,0.98343,0.71609,0.717,0.75337,0.59181,0.8633,1.03003,1.26389,4.13168e-05,4.13168e-05,4.13168e-05
98,1901.37,0.45775,0.32541,0.9844,0.7239,0.68769,0.74383,0.58056,0.86703,1.04575,1.27192,3.30701e-05,3.30701e-05,3.30701e-05
99,1920.28,0.44895,0.30514,0.97898,0.74366,0.68445,0.75011,0.58483,0.87134,1.03821,1.27939,2.48234e-05,2.48234e-05,2.48234e-05
100,1939.15,0.45629,0.31348,0.9927,0.74336,0.67512,0.75022,0.5841,0.86635,1.03034,1.27582,1.65767e-05,1.65767e-05,1.65767e-05
